underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2016-12-15,SPY,2016-12-16,120.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9909,0.0100,226.9000,226.9100,226.1169,226.9100,3.6747,-0.0004,0.0000,-0.0050,0.0002,-0.0003,0,0.0000,5493,0.0100,226.8700,226.8900,0.0000,53990,
SPY,2016-12-15,SPY,2016-12-16,125.000,C,101.9500,101.9500,101.9500,101.9500,1,15,101.5200,15,102.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.3532,10,101.4000,10,102.1000,226.8700,226.8900,101.9500,1,
SPY,2016-12-15,SPY,2016-12-16,125.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9709,0.0100,226.9000,226.9100,226.1169,226.9100,3.4479,-0.0004,0.0000,-0.0050,0.0002,-0.0003,0,0.0000,5417,0.0100,226.8700,226.8900,0.0000,16935,
SPY,2016-12-15,SPY,2016-12-16,130.000,C,97.2500,97.2500,96.0800,97.0000,3890,10,96.8000,83,97.0300,226.9000,226.9100,226.1169,226.9100,7.1772,0.9464,0.0012,-0.0050,0.0125,0.3292,10,96.6700,1,97.1800,226.8700,226.8900,96.9071,803,
SPY,2016-12-15,SPY,2016-12-16,130.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,10232,0.0100,226.9000,226.9100,226.1169,226.9100,3.2316,-0.0005,0.0000,-0.0050,0.0002,-0.0003,0,0.0000,6580,0.0100,226.8700,226.8900,0.0000,32392,
SPY,2016-12-15,SPY,2016-12-16,135.000,C,0.0000,0.0000,0.0000,0.0000,0,10,91.5100,10,92.1400,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.3814,10,91.4000,10,92.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,135.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11531,0.0100,226.9000,226.9100,226.1169,226.9100,3.0203,-0.0005,0.0000,-0.0049,0.0002,-0.0003,0,0.0000,6635,0.0100,226.8700,226.8900,0.0000,15927,
SPY,2016-12-15,SPY,2016-12-16,140.000,C,86.9900,86.9900,86.9900,86.9900,45,15,86.5100,15,87.1400,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.3955,10,86.6700,10,87.3700,226.8700,226.8900,86.9900,21,
SPY,2016-12-15,SPY,2016-12-16,140.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,10229,0.0100,226.9000,226.9100,226.1169,226.9100,2.8214,-0.0005,0.0001,-0.0050,0.0002,-0.0004,0,0.0000,6581,0.0100,226.8700,226.8900,0.0000,34445,
SPY,2016-12-15,SPY,2016-12-16,145.000,C,81.9900,81.9900,81.9900,81.9900,45,15,81.6300,15,82.2500,226.9000,226.9100,226.1169,226.9100,5.4974,0.9489,0.0015,-0.0300,0.0120,0.3750,10,81.6700,10,82.3700,226.8700,226.8900,81.9900,8,
SPY,2016-12-15,SPY,2016-12-16,145.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11464,0.0100,226.9000,226.9100,226.1169,226.9100,2.6273,-0.0006,0.0001,-0.0050,0.0002,-0.0004,0,0.0000,7959,0.0100,226.8700,226.8900,0.0000,23611,
SPY,2016-12-15,SPY,2016-12-16,150.000,C,0.0000,0.0000,0.0000,0.0000,0,15,76.6400,15,77.2600,226.9000,226.9100,226.1169,226.9100,5.0147,0.9495,0.0016,-0.0400,0.0118,0.3900,10,76.6700,10,77.3700,226.8700,226.8900,0.0000,13,
SPY,2016-12-15,SPY,2016-12-16,150.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11531,0.0100,226.9000,226.9100,226.1169,226.9100,2.4374,-0.0006,0.0001,-0.0050,0.0003,-0.0004,0,0.0000,6625,0.0100,226.8700,226.8900,0.0000,42345,
SPY,2016-12-15,SPY,2016-12-16,151.000,C,0.0000,0.0000,0.0000,0.0000,0,10,75.6300,10,76.2500,226.9000,226.9100,226.1169,226.9100,4.9126,0.9499,0.0016,-0.0300,0.0118,0.3932,10,75.4000,10,76.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,151.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9715,0.0100,226.9000,226.9100,226.1169,226.9100,2.4026,-0.0006,0.0001,-0.0050,0.0003,-0.0004,0,0.0000,5994,0.0100,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,152.000,C,0.0000,0.0000,0.0000,0.0000,0,10,74.6400,10,75.2500,226.9000,226.9100,226.1169,226.9100,4.8236,0.9499,0.0017,-0.0349,0.0117,0.3961,10,74.4000,10,75.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,152.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9735,0.0100,226.9000,226.9100,226.1169,226.9100,2.3650,-0.0006,0.0001,-0.0050,0.0003,-0.0004,0,0.0000,5736,0.0100,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,153.000,C,0.0000,0.0000,0.0000,0.0000,0,10,73.5100,10,74.1400,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.4323,10,73.4000,10,74.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,153.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9668,0.0100,226.9000,226.9100,226.1169,226.9100,2.3284,-0.0006,0.0001,-0.0050,0.0003,-0.0004,0,0.0000,5694,0.0100,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,154.000,C,0.0000,0.0000,0.0000,0.0000,0,10,72.5200,10,73.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.4351,10,72.6700,10,73.3700,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,154.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9399,0.0100,226.9000,226.9100,226.1169,226.9100,2.2932,-0.0007,0.0001,-0.0050,0.0003,-0.0004,0,0.0000,5582,0.0100,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,155.000,C,71.9200,71.9200,71.9200,71.9200,66,15,71.6300,15,72.2500,226.9000,226.9100,226.1169,226.9100,4.5480,0.9505,0.0018,-0.0300,0.0116,0.4052,10,71.4000,10,72.1000,226.8700,226.8900,71.9200,31,
